Library	condition	Rep	PC3_SE1_chr8:133,717,029-133,739,036	PC3_SE2_chr8:132,873,752-132,889,776	PC3_SE6_chr8:127,787,836-127,811,199	PC3_SE7_chr8:127,727,962-127,743,532
AT4-30-16	Empty	Rep1	1	1	1	1
AT4-30-17	Empty	Rep2	0.905723024661241	0.863471143030825	1.05177033626601	1.61253061671057
AT4-30-1	SE1	Rep1	7.09703023790047	1.41147336585614	1.9394163210493	1.94487649606012
AT4-30-2	SE1	Rep2	11.8743270923767	1.11278151449861	1.34487617646972	1.83413938035206
AT4-30-3	SE1	Rep3	8.44688713211282	1.25233576777971	1.87240485884963	2.00660207155521
AT4-30-4	SE2	Rep1	1.03824986041636	23.2979408435458	1.6727057354142	1.24562545392446
AT4-30-5	SE2	Rep2	1.24504793088054	24.1365471640754	1.46950356765205	1.96792250288025
AT4-30-6	SE2	Rep3	1.22796539411019	29.0152852583658	1.7172820003918	1.62106877317729
AT4-30-7	SE6	Rep1	0.893499886398542	0.952595771260851	62.9514140552228	1.29534169593415
AT4-30-8	SE6	Rep2	0.994472518712399	0.86291258223247	43.9033410096189	2.19296591379866
AT4-30-9	SE6	Rep3	0.961793703590431	0.925016042865715	41.3930037790045	2.46154277302717
AT4-30-10	SE7	Rep1	0.89731466844198	1.0402624339208	1.55832397027735	8.98057802964338
AT4-30-11	SE7	Rep2	1.14921796963616	1.63113942512625	3.48524877008525	7.81283631586763
AT4-30-13	Combo	Rep1	7.02060316725186	14.0926255626622	19.7975334813892	5.03667185837918
AT4-30-14	Combo	Rep2	9.05155005414806	17.6820181975715	26.0141192174944	5.0454746823606
AT4-30-15	Combo	Rep3	7.53952053413955	14.6859641871227	21.6196881990621	5.46845810030617
